Thời gian,Tên file,Điểm số,Thuật toán,Trạng thái,Ghi chú
2026-01-15 16:51:39,array.py,32,List,WA,
2026-01-15 16:51:39,atk.py,30,Cơ bản,WA,Code quá ngắn
2026-01-15 16:51:39,binarysearch.py,60,"Cây nhị phân/BST, Đệ quy",AC,
2026-01-15 16:51:39,ed.py,30,Cơ bản,WA,
2026-01-15 16:51:39,eeeee.py,30,Cơ bản,WA,
2026-01-15 16:51:39,frf.py,32,List,WA,
2026-01-15 16:51:39,lachonguniversity.py,40,Queue,WA,
2026-01-15 16:51:39,linkedlist.py,65,"Linked List, Tìm kiếm tuyến tính",AC,
2026-01-15 17:04:00,array.py,32,List,WA,
2026-01-15 17:04:00,atk.py,30,Cơ bản,WA,Code quá ngắn
2026-01-15 17:04:00,binarysearch.py,60,"Cây nhị phân/BST, Đệ quy",AC,
2026-01-15 17:04:00,ed.py,30,Cơ bản,WA,
2026-01-15 17:04:00,eeeee.py,30,Cơ bản,WA,
2026-01-15 17:05:57,array.py,32,List,WA,
2026-01-15 17:05:57,atk.py,30,Cơ bản,WA,Code quá ngắn
2026-01-15 17:05:57,binarysearch.py,60,"Cây nhị phân/BST, Đệ quy",AC,
2026-01-15 17:05:57,ed.py,30,Cơ bản,WA,
2026-01-15 17:05:57,eeeee.py,30,Cơ bản,WA,
2026-01-15 17:05:57,frf.py,32,List,WA,
2026-01-15 17:05:57,lachonguniversity.py,40,Queue,FLAG,Giống te2.py (100%)
2026-01-15 17:05:57,linkedlist.py,65,"Linked List, Tìm kiếm tuyến tính",AC,
2026-01-15 17:05:57,queue.py,40,Queue,WA,
2026-01-15 17:05:57,stack.py,37,"List, Stack",WA,
2026-01-15 17:05:57,te2.py,40,Queue,FLAG,Giống lachonguniversity.py (100%)
2026-01-15 17:05:57,test.py,0.0,,WA,SyntaxError: '[' was never closed at line 2
2026-01-15 17:05:57,testdemo.py,52,"List, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__main__.py,25,Cơ bản,WA,
2026-01-15 17:09:46,package_data.py,20,Cơ bản,FLAG,Code quá ngắn; Giống _version.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:09:46,_version.py,20,Cơ bản,FLAG,Code quá ngắn; Giống package_data.py (100%)
2026-01-15 17:09:46,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,build_env.py,73,"Dictionary, List, Queue, Set, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,cache.py,61,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,autocompletion.py,56,"List, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,base_command.py,41,"Dictionary, List, Tuple",WA,
2026-01-15 17:10:02,cmdoptions.py,61,"Dictionary, List, Set, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 53 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,command_context.py,37,Tuple,WA,
2026-01-15 17:10:02,index_command.py,42,"Dictionary, List, Tuple",WA,
2026-01-15 17:10:02,main.py,37,Tuple,WA,
2026-01-15 17:10:02,main_parser.py,59,"List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,parser.py,65,"Dictionary, List, Stack, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,progress_bars.py,59,"List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,req_command.py,39,"Dictionary, List, Tuple",WA,
2026-01-15 17:10:02,spinners.py,37,Tuple,WA,
2026-01-15 17:10:02,status_codes.py,20,Cơ bản,FLAG,Giống __version__.py (100%); Giống _export_format.py (100%)
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,cache.py,61,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,check.py,55,"Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,completion.py,40,"Dictionary, List",WA,
2026-01-15 17:10:02,configuration.py,60,"Dictionary, List, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,debug.py,62,"List, Set, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,download.py,57,"List, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,freeze.py,62,"List, Set, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,hash.py,55,Tìm kiếm tuyến tính,AC,
2026-01-15 17:10:02,help.py,37,List,WA,
2026-01-15 17:10:02,index.py,41,"Dictionary, List, Tuple",WA,
2026-01-15 17:10:02,inspect.py,42,"Dictionary, List, Tuple",WA,
2026-01-15 17:10:02,install.py,79,"Dictionary, List, Quy hoạch động (DP), Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,Spaghetti Code: 1 hàm quá dài (>30 dòng)
2026-01-15 17:10:02,list.py,63,"Dictionary, List, Set, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,lock.py,55,Tìm kiếm tuyến tính,AC,
2026-01-15 17:10:02,search.py,69,"Dictionary, List, Queue, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 6 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,show.py,60,"Dictionary, List, Set, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,Spaghetti Code: 21 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,uninstall.py,38,"Dictionary, List",WA,
2026-01-15 17:10:02,wheel.py,59,"List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,__init__.py,50,"Dictionary, Queue, Tuple",AC,
2026-01-15 17:10:02,configuration.py,59,"Dictionary, List, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,base.py,25,Cơ bản,WA,
2026-01-15 17:10:02,installed.py,35,Cơ bản,WA,
2026-01-15 17:10:02,sdist.py,36,Tuple,WA,
2026-01-15 17:10:02,wheel.py,35,Cơ bản,WA,
2026-01-15 17:10:02,__init__.py,35,Cơ bản,WA,
2026-01-15 17:10:02,exceptions.py,53,"List, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 26 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,collector.py,72,"Dictionary, List, Queue, Set, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 9 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,package_finder.py,60,"Dictionary, List, Set, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 17 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,sources.py,70,"Dictionary, List, Queue, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 6 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,base.py,37,Tuple,WA,
2026-01-15 17:10:02,_distutils.py,62,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,_sysconfig.py,60,"Dictionary, List, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,__init__.py,56,"List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,main.py,35,Cơ bản,WA,
2026-01-15 17:10:02,base.py,56,"List, Set, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 6 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,_compat.py,37,Tuple,WA,
2026-01-15 17:10:02,_dists.py,61,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,_envs.py,37,"List, Tuple",WA,
2026-01-15 17:10:02,__init__.py,22,List,WA,
2026-01-15 17:10:02,pkg_resources.py,84,"Dictionary, List, Quy hoạch động (DP), Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,_json.py,62,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,__init__.py,38,"List, Tuple",WA,
2026-01-15 17:10:02,candidate.py,37,List,WA,
2026-01-15 17:10:02,direct_url.py,39,"Dictionary, List, Tuple",WA,Spaghetti Code: 12 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,format_control.py,60,"List, Set, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,index.py,37,List,WA,
2026-01-15 17:10:02,installation_report.py,40,"Dictionary, List, Tuple",WA,
2026-01-15 17:10:02,link.py,46,"Dictionary, List, Tuple, Đệ quy",WA,Spaghetti Code: 14 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,pylock.py,40,"Dictionary, List, Tuple",WA,Spaghetti Code: 27 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,scheme.py,25,List,WA,Spaghetti Code: 6 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,search_scope.py,57,"List, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,selection_prefs.py,27,List,WA,
2026-01-15 17:10:02,target_python.py,39,"List, Tuple",WA,
2026-01-15 17:10:02,wheel.py,36,Tuple,WA,
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,auth.py,58,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 8 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,cache.py,39,"List, Tuple",WA,
2026-01-15 17:10:02,download.py,56,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 6 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,lazy_wheel.py,82,"List, Quy hoạch động (DP), Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,
2026-01-15 17:10:02,session.py,60,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,utils.py,30,"Dictionary, Tuple",WA,
2026-01-15 17:10:02,xmlrpc.py,40,"Dictionary, Tuple",WA,
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,build_tracker.py,60,"Dictionary, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,metadata.py,35,Cơ bản,FLAG,Giống metadata_editable.py (86%)
2026-01-15 17:10:02,metadata_editable.py,35,Cơ bản,FLAG,Giống metadata.py (86%)
2026-01-15 17:10:02,wheel.py,35,Cơ bản,FLAG,Giống wheel_editable.py (85%)
2026-01-15 17:10:02,wheel_editable.py,35,Cơ bản,FLAG,Giống wheel.py (85%)
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,check.py,58,"Dictionary, List, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,Spaghetti Code: 10 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,freeze.py,86,"Dictionary, Duyệt đồ thị (BFS/DFS), List, Queue, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,Spaghetti Code: 7 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,wheel.py,73,"Dictionary, List, Queue, Set, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 7 biến toàn cục (Nên đóng gói); Spaghetti Code: 1 hàm quá dài (>30 dòng)
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,prepare.py,58,"Dictionary, List, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,__init__.py,20,Cơ bản,FLAG,Code quá ngắn; Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%); Giống __init__.py (100%)
2026-01-15 17:10:02,pyproject.py,70,"Dictionary, List, Queue, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,constructors.py,61,"Dictionary, List, Set, Tuple, Tìm kiếm tuyến tính",AC,Spaghetti Code: 7 biến toàn cục (Nên đóng gói)
2026-01-15 17:10:02,req_dependency_group.py,60,"Dictionary, Tuple, Tìm kiếm tuyến tính",AC,
2026-01-15 17:10:02,req_file.py,72,"Dictionary, List, Queue, Stack, Sắp xếp cơ bản (Bubble/Selection/Insertion), Tuple",AC,Spaghetti Code: 17 biến toàn cục (Nên đóng gói)
